,Num_Acc,place,catu,grav,sexe,secu,locp,actp,etatp,an_nais,num_veh,senc,catv,occutc,obs,obsm,choc,manv,mois,jour,hrmn,lum,agg,int,atm,col,mom,catvopp,catv_gen,catvopp_gen
24033,201600010816,1.0,1,4,1,21.0,0.0,0.0,0.0,1973.0,B01,2.0,34,0,0.0,2.0,1.0,2.0,12,17,1415,1,2,1,1,2,3,7,1,2
24034,201600010817,1.0,1,3,2,21.0,0.0,0.0,0.0,1993.0,A01,1.0,30,0,0.0,2.0,1.0,2.0,12,19,1230,1,2,1,1,2,2,7,1,2
24035,201600010817,1.0,1,1,1,11.0,0.0,0.0,0.0,1972.0,B01,1.0,7,0,0.0,0.0,5.0,2.0,12,19,1230,1,2,1,1,2,2,30,2,1
24036,201600010818,1.0,1,1,1,11.0,0.0,0.0,0.0,1993.0,A01,1.0,7,0,0.0,2.0,3.0,9.0,12,19,1800,5,2,6,2,3,4,7,2,2
24037,201600010818,4.0,2,4,2,11.0,0.0,0.0,0.0,2003.0,B01,2.0,7,0,0.0,2.0,7.0,1.0,12,19,1800,5,2,6,2,3,4,7,2,2
24038,201600010818,3.0,2,4,1,11.0,0.0,0.0,0.0,2006.0,B01,2.0,7,0,0.0,2.0,7.0,1.0,12,19,1800,5,2,6,2,3,4,7,2,2
24039,201600010818,2.0,2,4,2,11.0,0.0,0.0,0.0,1980.0,B01,2.0,7,0,0.0,2.0,7.0,1.0,12,19,1800,5,2,6,2,3,4,7,2,2
24040,201600010818,1.0,1,4,1,11.0,0.0,0.0,0.0,1970.0,B01,2.0,7,0,0.0,2.0,7.0,1.0,12,19,1800,5,2,6,2,3,4,7,2,2
24041,201600010819,1.0,1,1,1,11.0,0.0,0.0,0.0,1970.0,A01,1.0,7,0,0.0,2.0,1.0,2.0,12,20,1650,2,2,1,8,2,3,7,2,2
24042,201600010819,1.0,1,4,1,11.0,0.0,0.0,0.0,1984.0,B01,1.0,7,0,0.0,0.0,4.0,1.0,12,20,1650,2,2,1,8,2,3,7,2,2
24043,201600010820,1.0,1,4,2,11.0,0.0,0.0,0.0,1951.0,A01,1.0,7,0,11.0,0.0,1.0,2.0,12,21,1415,1,2,1,1,6,3,7,2,2
24044,201600010821,1.0,1,2,2,12.0,0.0,0.0,0.0,1992.0,A01,2.0,7,0,0.0,2.0,3.0,13.0,12,22,605,5,2,1,1,1,1,37,2,3
24045,201600010821,1.0,1,4,1,11.0,0.0,0.0,0.0,1969.0,B01,1.0,37,1,0.0,2.0,3.0,1.0,12,22,605,5,2,1,1,1,1,7,3,2
24046,201600010821,2.0,2,4,2,93.0,0.0,0.0,0.0,1954.0,B01,1.0,37,1,0.0,2.0,3.0,1.0,12,22,605,5,2,1,1,1,1,7,3,2
24047,201600010821,2.0,2,4,2,11.0,0.0,0.0,0.0,1977.0,B01,1.0,37,1,0.0,2.0,3.0,1.0,12,22,605,5,2,1,1,1,1,7,3,2
24048,201600010821,4.0,2,4,1,11.0,0.0,0.0,0.0,1966.0,B01,1.0,37,1,0.0,2.0,3.0,1.0,12,22,605,5,2,1,1,1,1,7,3,2
24049,201600010822,1.0,1,4,1,21.0,0.0,0.0,0.0,1975.0,A01,0.0,33,0,0.0,0.0,0.0,0.0,12,22,1250,1,2,1,1,7,2,33,1,1
24050,201600010823,1.0,1,4,1,21.0,0.0,0.0,0.0,1994.0,A01,2.0,1,0,0.0,2.0,1.0,2.0,12,23,1110,1,2,1,1,1,1,7,1,2
24051,201600010823,1.0,1,1,1,11.0,0.0,0.0,0.0,1980.0,B01,1.0,7,0,0.0,0.0,0.0,0.0,12,23,1110,1,2,1,1,1,1,1,2,1
24052,201600010824,2.0,2,4,2,11.0,0.0,0.0,0.0,1995.0,B01,2.0,7,0,0.0,9.0,4.0,2.0,12,30,1020,1,2,6,1,2,1,7,2,2
24053,201600010824,1.0,1,1,2,11.0,0.0,0.0,0.0,1958.0,B01,2.0,7,0,0.0,9.0,4.0,2.0,12,30,1020,1,2,6,1,2,1,7,2,2
24054,201600010824,2.0,2,1,2,11.0,0.0,0.0,0.0,1957.0,A01,2.0,7,0,0.0,2.0,1.0,2.0,12,30,1020,1,2,6,1,2,1,7,2,2
24055,201600010824,1.0,1,1,1,11.0,0.0,0.0,0.0,1928.0,A01,2.0,7,0,0.0,2.0,1.0,2.0,12,30,1020,1,2,6,1,2,1,7,2,2
24056,201600010825,1.0,1,3,1,21.0,0.0,0.0,0.0,1980.0,A01,2.0,30,0,0.0,2.0,2.0,2.0,1,5,740,4,2,1,1,3,1,17,1,3
24057,201600010825,1.0,1,1,1,11.0,0.0,0.0,0.0,1968.0,B01,2.0,17,0,0.0,2.0,8.0,2.0,1,5,740,4,2,1,1,3,1,30,3,1
24058,201600010826,1.0,1,4,1,23.0,0.0,0.0,0.0,1995.0,A01,1.0,30,0,0.0,0.0,0.0,0.0,1,9,2100,5,2,1,2,7,4,30,1,1
24059,201600010827,1.0,1,1,1,13.0,0.0,0.0,0.0,1952.0,A01,2.0,7,0,0.0,2.0,6.0,18.0,1,12,1132,1,2,3,1,3,1,32,2,1
24060,201600010827,1.0,1,2,1,21.0,0.0,0.0,0.0,1936.0,B01,2.0,32,0,0.0,2.0,7.0,1.0,1,12,1132,1,2,3,1,3,1,7,1,2
24061,201600010828,1.0,1,1,1,11.0,0.0,0.0,0.0,1946.0,A01,1.0,7,0,0.0,1.0,0.0,0.0,1,12,1540,1,1,1,1,6,3,7,2,2
24062,201600010828,0.0,3,3,1,0.0,2.0,3.0,1.0,1931.0,A01,1.0,7,0,0.0,1.0,0.0,0.0,1,12,1540,1,1,1,1,6,3,7,2,2
24063,201600010829,1.0,1,1,2,13.0,0.0,0.0,0.0,1975.0,A01,2.0,7,0,0.0,2.0,8.0,19.0,1,31,1,5,2,1,1,3,0,32,2,1
24064,201600010829,1.0,1,3,1,93.0,0.0,0.0,0.0,1983.0,B01,1.0,32,0,0.0,2.0,1.0,1.0,1,31,1,5,2,1,1,3,0,7,1,2
24065,201600010830,1.0,1,1,1,11.0,0.0,0.0,0.0,1988.0,A01,2.0,7,0,0.0,2.0,1.0,0.0,2,2,2238,5,1,1,1,1,5,32,2,1
24066,201600010830,1.0,1,3,1,21.0,0.0,0.0,0.0,1973.0,B01,1.0,32,0,0.0,2.0,1.0,1.0,2,2,2238,5,1,1,1,1,5,7,1,2
24067,201600010831,1.0,1,3,1,21.0,0.0,0.0,0.0,1963.0,A01,2.0,34,0,0.0,2.0,1.0,17.0,2,4,725,2,2,1,1,5,1,38,1,3
24068,201600010831,1.0,1,1,1,11.0,0.0,0.0,0.0,1979.0,C01,2.0,38,1,0.0,2.0,6.0,1.0,2,4,725,2,2,1,1,5,1,34,3,1
24069,201600010832,1.0,1,1,1,11.0,0.0,0.0,0.0,1952.0,A01,2.0,7,0,1.0,2.0,3.0,13.0,2,6,2030,5,2,1,1,6,4,7,2,2
24070,201600010832,1.0,1,4,2,11.0,0.0,0.0,0.0,1963.0,B01,2.0,7,0,0.0,2.0,3.0,1.0,2,6,2030,5,2,1,1,6,4,7,2,2
24071,201600010833,1.0,1,4,1,21.0,0.0,0.0,0.0,1973.0,B01,2.0,32,0,0.0,2.0,1.0,17.0,2,1,723,5,2,1,1,5,1,33,1,1
